Period,Inventory Bldgs,Inventory Units,Inventory Avg SF,Asking Rent Per Unit,Asking Rent Per SF,Asking Rent % Growth/Yr,Effective Rent Per Unit,Effective Rent Per SF,Effective Rent % Growth/Yr,Effective Rent Concessions %,Vacancy Units,Vacancy Percent,Vacancy % Growth/Yr,Occupancy Units,Occupancy Percent,Occupancy % Growth/Yr,Absorption Units,Absorption Percent,Under Construction Bldgs,Under Construction Units,Under Construction Percent,Deliveries Bldgs,Deliveries Units,Deliveries Percent
2018 Q3,"157,039","2,688,314",833,"$1,913 ",$2.34 ,3.40%,1895,$2.32 ,3.60%,0.90%,"118,771",4.50%,0.10%,"2,534,503.00",95.50%,-0.10%,"4,689",0.20%,553,"60,226",2.20%,83,"10,192",0.40%
2018 Q2,"156,956","2,678,122",832,"$1,905 ",$2.33 ,3.40%,1886,$2.31 ,3.50%,1.00%,"113,218",4.30%,-0.10%,"2,529,865.00",95.70%,0.10%,"9,443",0.40%,567,"64,591",2.40%,84,"7,234",0.30%
2018 Q1,"156,872","2,670,888",832,"$1,880 ",$2.30 ,3.40%,1858,$2.27 ,3.30%,1.20%,"115,381",4.40%,0.10%,"2,520,468.00",95.60%,-0.10%,"7,373",0.30%,557,"61,904",2.30%,84,"6,445",0.20%
2017 Q4,"156,788","2,664,443",832,"$1,857 ",$2.27 ,3.50%,1832,$2.24 ,3.30%,1.30%,"116,329",4.40%,0.00%,"2,513,139.00",95.60%,0.00%,"1,403",0.10%,517,"58,815",2.20%,38,"2,845",0.10%
2017 Q3,"156,750","2,661,598",832,"$1,850 ",$2.26 ,3.40%,1829,$2.24 ,3.20%,1.10%,"114,845",4.40%,0.10%,"2,511,778.00",95.60%,-0.10%,"4,433",0.20%,478,"54,130",2.00%,62,"5,247",0.20%
2017 Q2,"156,688","2,656,351",831,"$1,842 ",$2.25 ,3.70%,1823,$2.23 ,3.60%,1.00%,"114,019",4.30%,0.10%,"2,507,357.00",95.70%,-0.10%,"5,613",0.20%,472,"53,308",2.00%,75,"6,926",0.30%
2017 Q1,"156,613","2,649,425",831,"$1,819 ",$2.23 ,3.70%,1798,$2.20 ,3.60%,1.20%,"112,704",4.30%,0.20%,"2,501,759.00",95.70%,-0.20%,"6,880",0.30%,445,"52,748",2.00%,46,"5,319",0.20%
2016 Q4,"156,567","2,644,106",830,"$1,795 ",$2.20 ,3.60%,1774,$2.17 ,3.30%,1.20%,"114,257",4.40%,0.10%,"2,494,887.00",95.60%,-0.10%,"3,367",0.10%,403,"51,159",1.90%,69,"5,099",0.20%
2016 Q3,"156,498","2,639,007",830,"$1,789 ",$2.19 ,4.10%,1772,$2.17 ,4.00%,1.00%,"112,520",4.30%,-0.10%,"2,491,525.00",95.70%,0.10%,"4,378",0.20%,393,"46,834",1.80%,46,"6,714",0.30%
2016 Q2,"156,452","2,632,293",830,"$1,777 ",$2.17 ,4.90%,1759,$2.15 ,4.70%,1.00%,"110,179",4.20%,-0.20%,"2,487,152.00",95.80%,0.20%,"4,599",0.20%,371,"45,712",1.70%,62,"7,224",0.30%
2016 Q1,"156,390","2,625,069",829,"$1,754 ",$2.14 ,5.60%,1735,$2.12 ,5.80%,1.10%,"107,570",4.20%,-0.30%,"2,482,540.00",95.80%,0.30%,"6,240",0.20%,353,"47,282",1.80%,40,"2,603",0.10%
2015 Q4,"156,350","2,622,466",829,"$1,732 ",$2.12 ,6.00%,1716,$2.10 ,6.00%,0.90%,"111,171",4.30%,-0.20%,"2,476,336.00",95.70%,0.20%,"8,166",0.30%,326,"42,725",1.60%,45,"6,625",0.30%
2015 Q3,"156,305","2,615,841",829,"$1,718 ",$2.10 ,6.40%,1704,$2.08 ,6.20%,0.80%,"112,848",4.40%,-0.10%,"2,468,183.00",95.60%,0.10%,"7,123",0.30%,308,"43,940",1.70%,50,"6,268",0.20%
2015 Q2,"156,255","2,609,573",828,"$1,694 ",$2.07 ,6.00%,1679,$2.05 ,5.80%,0.90%,"113,859",4.40%,0.00%,"2,461,071.00",95.60%,0.00%,"6,484",0.20%,311,"46,253",1.80%,47,"5,363",0.20%
2015 Q1,"156,208","2,604,210",828,"$1,660 ",$2.03 ,4.90%,1640,$2.00 ,4.50%,1.20%,"115,278",4.50%,0.00%,"2,454,592.00",95.50%,0.00%,"6,435",0.20%,294,"42,871",1.60%,71,"6,862",0.30%
2014 Q4,"156,137","2,597,348",828,"$1,634 ",$2.00 ,4.00%,1619,$1.98 ,3.80%,0.90%,"114,833",4.50%,-0.10%,"2,448,175.00",95.50%,0.10%,"3,942",0.20%,301,"41,925",1.60%,43,"4,680",0.20%
2014 Q3,"156,094","2,592,668",827,"$1,616 ",$1.97 ,3.50%,1605,$1.96 ,3.50%,0.70%,"114,091",4.50%,-0.10%,"2,444,237.00",95.50%,0.10%,"8,049",0.30%,292,"40,736",1.60%,54,"9,411",0.40%
2014 Q2,"156,040","2,583,257",827,"$1,599 ",$1.95 ,3.30%,1587,$1.94 ,3.30%,0.70%,"112,727",4.40%,-0.20%,"2,436,190.00",95.60%,0.20%,"6,336",0.20%,306,"45,119",1.70%,39,"4,979",0.20%
2014 Q1,"156,001","2,578,278",827,"$1,583 ",$1.93 ,3.30%,1570,$1.92 ,3.30%,0.80%,"114,076",4.50%,-0.30%,"2,429,862.00",95.50%,0.30%,"5,959",0.20%,285,"42,202",1.60%,34,"4,906",0.20%
2013 Q4,"155,967","2,573,372",826,"$1,571 ",$1.92 ,3.40%,1559,$1.90 ,3.40%,0.80%,"115,121",4.50%,-0.40%,"2,423,911.00",95.50%,0.40%,"2,730",0.10%,261,"41,845",1.60%,33,"3,102",0.10%
2013 Q3,"155,934","2,570,270",826,"$1,561 ",$1.90 ,3.40%,1550,$1.89 ,3.40%,0.70%,"114,740",4.50%,-0.50%,"2,421,190.00",95.50%,0.50%,"6,967",0.30%,228,"36,293",1.40%,28,"4,572",0.20%
2013 Q2,"155,906","2,565,698",825,"$1,548 ",$1.89 ,3.30%,1537,$1.87 ,3.30%,0.70%,"117,112",4.60%,-0.50%,"2,414,246.00",95.40%,0.50%,"5,656",0.20%,201,"31,570",1.20%,21,"1,437",0.10%
2013 Q1,"155,885","2,564,261",825,"$1,531 ",$1.87 ,3.00%,1520,$1.85 ,2.90%,0.80%,"121,321",4.80%,-0.30%,"2,408,600.00",95.20%,0.30%,"4,548",0.20%,179,"26,511",1.00%,31,"1,406",0.10%
2012 Q4,"155,854","2,562,855",825,"$1,519 ",$1.85 ,2.80%,1507,$1.84 ,2.70%,0.80%,"124,452",4.90%,-0.20%,"2,404,063.00",95.10%,0.20%,"7,082",0.30%,169,"23,500",0.90%,24,"4,761",0.20%
2012 Q3,"155,830","2,558,094",825,"$1,510 ",$1.84 ,2.60%,1499,$1.83 ,2.50%,0.70%,"126,769",5.00%,-0.10%,"2,396,985.00",95.00%,0.10%,"4,130",0.20%,162,"25,416",1.00%,24,"2,400",0.10%
2012 Q2,"155,806","2,555,694",825,"$1,499 ",$1.83 ,2.30%,1488,$1.81 ,2.30%,0.70%,"128,494",5.10%,0.00%,"2,392,860.00",94.90%,0.00%,"1,830",0.10%,145,"20,500",0.80%,22,814,0.00%
2012 Q1,"155,784","2,554,880",825,"$1,487 ",$1.81 ,2.20%,1477,$1.80 ,2.20%,0.70%,"129,511",5.10%,0.00%,"2,391,029.00",94.90%,0.00%,"2,623",0.10%,146,"18,524",0.70%,27,"3,679",0.10%
2011 Q4,"155,757","2,551,201",824,"$1,477 ",$1.80 ,1.80%,1468,$1.79 ,1.90%,0.60%,"128,453",5.10%,-0.10%,"2,388,408.00",94.90%,0.10%,446,0.00%,138,"17,962",0.70%,12,815,0.00%
2011 Q3,"155,745","2,550,386",824,"$1,472 ",$1.79 ,1.20%,1462,$1.78 ,1.30%,0.60%,"128,084",5.10%,-0.20%,"2,387,962.00",94.90%,0.20%,"1,087",0.00%,118,"15,509",0.60%,24,992,0.00%
2011 Q2,"155,721","2,549,394",824,"$1,464 ",$1.78 ,1.30%,1455,$1.77 ,1.40%,0.60%,"128,173",5.10%,-0.30%,"2,386,881.00",94.90%,0.30%,"1,702",0.10%,114,"12,979",0.50%,13,607,0.00%
2011 Q1,"155,708","2,548,787",824,"$1,455 ",$1.77 ,1.10%,1445,$1.76 ,1.10%,0.60%,"129,264",5.10%,-0.40%,"2,385,183.00",94.90%,0.40%,"2,590",0.10%,101,"12,462",0.50%,15,314,0.00%
2010 Q4,"155,693","2,548,473",824,"$1,451 ",$1.77 ,0.40%,1442,$1.76 ,0.50%,0.70%,"131,532",5.20%,-0.50%,"2,382,601.00",94.80%,0.50%,"3,708",0.10%,86,"8,718",0.30%,26,"1,546",0.10%
2010 Q3,"155,667","2,546,927",824,"$1,454 ",$1.77 ,-1.00%,1444,$1.76 ,-0.90%,0.70%,"133,686",5.30%,-0.40%,"2,378,901.00",94.70%,0.40%,"4,384",0.20%,100,"9,396",0.40%,22,"1,354",0.10%
2010 Q2,"155,645","2,545,573",824,"$1,445 ",$1.76 ,-2.50%,1435,$1.75 ,-2.50%,0.70%,"136,711",5.40%,-0.30%,"2,374,527.00",94.60%,0.30%,"4,822",0.20%,102,"9,275",0.40%,27,"1,954",0.10%
2010 Q1,"155,618","2,543,619",823,"$1,439 ",$1.75 ,-4.70%,1429,$1.74 ,-4.60%,0.70%,"139,571",5.60%,0.10%,"2,369,713.00",94.40%,-0.10%,"4,368",0.20%,103,"6,562",0.30%,39,784,0.00%
2009 Q4,"155,579","2,542,835",823,"$1,445 ",$1.76 ,-5.80%,1434,$1.75 ,-5.80%,0.70%,"143,144",5.70%,0.50%,"2,365,356.00",94.30%,-0.50%,"4,888",0.20%,124,"6,414",0.30%,37,"4,066",0.20%
2009 Q3,"155,542","2,538,769",823,"$1,468 ",$1.79 ,-5.20%,1457,$1.78 ,-5.20%,0.70%,"143,962",5.70%,0.80%,"2,360,472.00",94.30%,-0.80%,"4,280",0.20%,147,"9,690",0.40%,54,"5,723",0.20%
2009 Q2,"155,488","2,533,046",822,"$1,483 ",$1.81 ,-3.70%,1472,$1.79 ,-3.80%,0.70%,"142,518",5.70%,1.00%,"2,356,193.00",94.30%,-1.00%,"-1,886",-0.10%,178,"14,737",0.60%,51,"3,456",0.10%
2009 Q1,"155,437","2,529,590",822,"$1,510 ",$1.84 ,-1.20%,1499,$1.83 ,-1.30%,0.70%,"137,187",5.50%,0.90%,"2,358,068.00",94.50%,-0.90%,"-4,635",-0.20%,207,"16,873",0.70%,29,"2,635",0.10%
2008 Q4,"155,408","2,526,955",822,"$1,533 ",$1.87 ,0.90%,1523,$1.86 ,0.80%,0.70%,"129,935",5.20%,0.70%,"2,362,685.00",94.80%,-0.70%,"-5,025",-0.20%,203,"17,673",0.70%,45,"2,260",0.10%
2008 Q3,"155,363","2,524,695",821,"$1,548 ",$1.89 ,2.10%,1537,$1.87 ,2.00%,0.70%,"122,667",4.90%,0.50%,"2,367,693.00",95.10%,-0.50%,-818,0.00%,209,"18,758",0.70%,69,"4,462",0.20%
2008 Q2,"155,294","2,520,233",821,"$1,540 ",$1.88 ,2.80%,1530,$1.86 ,2.70%,0.60%,"117,388",4.70%,0.40%,"2,368,510.00",95.30%,-0.40%,"1,770",0.10%,247,"21,265",0.80%,71,"5,738",0.20%
2008 Q1,"155,223","2,514,495",820,"$1,528 ",$1.86 ,3.60%,1518,$1.85 ,3.60%,0.60%,"113,412",4.60%,0.30%,"2,366,748.00",95.40%,-0.30%,598,0.00%,282,"24,588",1.00%,69,"3,474",0.10%
2007 Q4,"155,154","2,511,021",820,"$1,520 ",$1.85 ,4.20%,1511,$1.84 ,4.20%,0.60%,"110,538",4.50%,0.20%,"2,366,148.00",95.50%,-0.20%,629,0.00%,302,"23,473",0.90%,54,"2,591",0.10%
2007 Q3,"155,100","2,508,430",820,"$1,516 ",$1.85 ,4.90%,1507,$1.84 ,4.90%,0.60%,"108,576",4.40%,0.10%,"2,365,519.00",95.60%,-0.10%,"3,149",0.10%,296,"23,267",0.90%,70,"4,041",0.20%
2007 Q2,"155,030","2,504,389",820,"$1,499 ",$1.83 ,5.40%,1490,$1.82 ,5.40%,0.60%,"107,657",4.40%,0.00%,"2,362,401.00",95.60%,0.00%,"3,030",0.10%,309,"24,128",1.00%,82,"4,603",0.20%
2007 Q1,"154,948","2,499,786",819,"$1,475 ",$1.80 ,5.50%,1466,$1.79 ,5.50%,0.60%,"106,081",4.30%,-0.10%,"2,359,374.00",95.70%,0.10%,"2,153",0.10%,327,"24,672",1.00%,59,"3,213",0.10%
2006 Q4,"154,889","2,496,573",819,"$1,458 ",$1.78 ,5.70%,1450,$1.77 ,5.70%,0.60%,"105,116",4.30%,-0.30%,"2,357,228.00",95.70%,0.30%,"3,989",0.20%,314,"21,262",0.90%,63,"4,476",0.20%
2006 Q3,"154,826","2,492,097",818,"$1,445 ",$1.76 ,5.60%,1436,$1.75 ,5.60%,0.60%,"104,619",4.30%,-0.50%,"2,353,249.00",95.70%,0.50%,"4,134",0.20%,324,"22,962",0.90%,66,"2,261",0.10%
2006 Q2,"154,760","2,489,836",818,"$1,422 ",$1.73 ,5.40%,1414,$1.72 ,5.50%,0.60%,"106,482",4.30%,-0.60%,"2,349,125.00",95.70%,0.60%,"6,041",0.20%,330,"21,103",0.80%,74,"4,332",0.20%
2006 Q1,"154,686","2,485,504",818,"$1,398 ",$1.70 ,5.10%,1390,$1.69 ,5.10%,0.60%,"108,265",4.40%,-0.70%,"2,343,098.00",95.60%,0.70%,"6,920",0.30%,318,"21,095",0.80%,70,"2,384",0.10%
2005 Q4,"154,616","2,483,120",818,"$1,380 ",$1.68 ,4.50%,1372,$1.67 ,4.50%,0.60%,"112,786",4.60%,-0.60%,"2,336,193.00",95.40%,0.60%,"6,889",0.30%,318,"19,061",0.80%,44,"2,377",0.10%
2005 Q3,"154,572","2,480,743",817,"$1,369 ",$1.67 ,3.80%,1360,$1.66 ,3.80%,0.60%,"117,284",4.80%,-0.50%,"2,329,318.00",95.20%,0.50%,"7,658",0.30%,304,"18,657",0.80%,67,"4,255",0.20%
2005 Q2,"154,505","2,476,488",817,"$1,349 ",$1.64 ,2.90%,1341,$1.63 ,2.90%,0.60%,"120,665",4.90%,-0.40%,"2,321,682.00",95.10%,0.40%,"8,292",0.30%,307,"19,799",0.80%,60,"4,142",0.20%
2005 Q1,"154,445","2,472,346",817,"$1,331 ",$1.62 ,2.00%,1322,$1.61 ,2.00%,0.60%,"124,795",5.10%,-0.10%,"2,313,410.00",94.90%,0.10%,"7,329",0.30%,298,"19,742",0.80%,57,"4,263",0.20%
2004 Q4,"154,388","2,468,083",816,"$1,321 ",$1.61 ,1.20%,1312,$1.60 ,1.20%,0.60%,"127,847",5.30%,0.10%,"2,306,095.00",94.70%,-0.10%,"7,607",0.30%,276,"20,964",0.80%,72,"6,377",0.30%
2004 Q3,"154,316","2,461,706",816,"$1,319 ",$1.61 ,0.60%,1310,$1.60 ,0.60%,0.60%,"129,072",5.30%,0.30%,"2,298,493.00",94.70%,-0.30%,"3,429",0.10%,289,"23,236",0.90%,70,"3,519",0.10%
2004 Q2,"154,246","2,458,187",815,"$1,311 ",$1.60 ,0.10%,1303,$1.59 ,0.10%,0.60%,"128,975",5.30%,0.30%,"2,295,071.00",94.70%,-0.30%,908,0.00%,296,"23,475",1.00%,64,"2,541",0.10%
2004 Q1,"154,182","2,455,646",815,"$1,305 ",$1.59 ,-0.40%,1297,$1.58 ,-0.40%,0.70%,"127,343",5.30%,0.20%,"2,294,162.00",94.70%,-0.20%,711,0.00%,299,"23,473",1.00%,62,"3,852",0.20%
2003 Q4,"154,120","2,451,794",815,"$1,305 ",$1.59 ,-0.80%,1297,$1.58 ,-0.80%,0.60%,"124,205",5.10%,0.10%,"2,293,448.00",94.90%,-0.10%,747,0.00%,308,"23,930",1.00%,41,"2,653",0.10%
2003 Q3,"154,079","2,449,141",815,"$1,311 ",$1.60 ,-1.20%,1303,$1.59 ,-1.20%,0.60%,"122,316",5.10%,0.00%,"2,292,703.00",94.90%,0.00%,"2,491",0.10%,284,"22,215",0.90%,50,"2,747",0.10%
2003 Q2,"154,029","2,446,394",814,"$1,310 ",$1.60 ,-1.10%,1302,$1.59 ,-1.10%,0.70%,"122,056",5.10%,0.10%,"2,290,216.00",94.90%,-0.10%,"4,076",0.20%,269,"22,847",0.90%,48,"3,645",0.10%
2003 Q1,"153,981","2,442,749",814,"$1,310 ",$1.60 ,-1.40%,1301,$1.59 ,-1.40%,0.70%,"122,488",5.10%,0.30%,"2,286,145.00",94.90%,-0.30%,"4,417",0.20%,262,"23,640",1.00%,42,"5,006",0.20%
2002 Q4,"153,939","2,437,743",814,"$1,316 ",$1.60 ,-1.30%,1307,$1.59 ,-1.30%,0.70%,"121,897",5.10%,0.50%,"2,281,730.00",94.90%,-0.50%,"1,218",0.00%,232,"23,400",1.00%,40,"2,698",0.10%
2002 Q3,"153,899","2,435,045",814,"$1,327 ",$1.62 ,-1.20%,1318,$1.61 ,-1.30%,0.70%,"120,423",5.00%,0.80%,"2,280,511.00",95.00%,-0.80%,"2,384",0.10%,211,"19,597",0.80%,54,"4,062",0.20%
2002 Q2,"153,845","2,430,983",813,"$1,325 ",$1.61 ,-0.40%,1316,$1.60 ,-0.50%,0.70%,"118,751",5.00%,1.10%,"2,278,121.00",95.00%,-1.10%,821,0.00%,219,"21,793",0.90%,58,"4,971",0.20%
2002 Q1,"153,787","2,426,012",813,"$1,328 ",$1.62 ,1.40%,1320,$1.61 ,1.20%,0.70%,"114,669",4.80%,1.30%,"2,277,296.00",95.20%,-1.30%,"-3,031",-0.10%,233,"23,812",1.00%,42,"2,790",0.10%
2001 Q4,"153,745","2,423,222",812,"$1,333 ",$1.62 ,3.80%,1325,$1.61 ,3.60%,0.60%,"108,860",4.60%,1.30%,"2,280,315.00",95.40%,-1.30%,"-5,453",-0.20%,233,"22,808",0.90%,36,"3,231",0.10%
2001 Q3,"153,709","2,419,991",812,"$1,343 ",$1.64 ,6.80%,1335,$1.63 ,6.60%,0.60%,"100,199",4.20%,1.10%,"2,285,749.00",95.80%,-1.10%,"-4,020",-0.20%,222,"20,948",0.90%,44,"5,122",0.20%
2001 Q2,"153,665","2,414,869",812,"$1,330 ",$1.62 ,9.20%,1323,$1.61 ,9.10%,0.60%,"91,074",3.80%,0.70%,"2,289,752.00",96.20%,-0.70%,"-3,489",-0.10%,210,"20,605",0.90%,37,"3,892",0.20%
2001 Q1,"153,628","2,410,977",811,"$1,311 ",$1.60 ,11.30%,1304,$1.59 ,11.20%,0.50%,"83,710",3.50%,0.30%,"2,293,224.00",96.50%,-0.30%,"-1,875",-0.10%,198,"21,717",0.90%,41,"5,115",0.20%
2000 Q4,"153,587","2,405,862",811,"$1,284 ",$1.57 ,-,1278,$1.56 ,-,0.50%,"76,731",3.20%,-,"2,295,088.00",96.80%,-,"2,743",0.10%,193,"22,977",1.00%,65,"5,866",0.20%
2000 Q3,"153,522","2,399,996",810,"$1,258 ",$1.53 ,-,1252,$1.53 ,-,0.50%,"74,345",3.10%,-,"2,292,344.00",96.90%,-,"3,352",0.10%,217,"24,763",1.00%,83,"3,218",0.10%
2000 Q2,"153,439","2,396,778",810,"$1,218 ",$1.49 ,-,1213,$1.48 ,-,0.50%,"74,477",3.20%,-,"2,288,994.00",96.80%,-,"5,872",0.20%,254,"24,470",1.00%,77,"5,219",0.20%
2000 Q1,"153,362","2,391,559",810,"$1,178 ",$1.44 ,-,1173,$1.43 ,-,0.50%,"75,117",3.20%,-,"2,283,135.00",96.80%,-,-,-,293,"27,622",1.20%,102,"3,215",0.10%
